MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA
109.26,109.26,109.26,109.26,109.26,97.37,97.37,97.37,97.37,97.37,96.51
109.44,109.44,109.44,109.44,109.44,99.09,99.09,99.09,99.09,99.09,99.09
113.17,113.17,113.17,113.17,113.17,100.53,100.53,100.53,100.53,100.53,99.09
116.9,116.9,116.9,116.9,116.9,101.97,101.97,101.97,101.97,101.97,99.09
120.64,120.64,120.64,120.64,120.64,103.4,103.4,103.4,103.4,103.4,99.09
124.37,124.37,124.37,124.37,124.37,104.84,104.84,104.84,104.84,104.84,99.09
80.09,80.09,80.09,80.09,80.09,73.41,73.41,73.41,73.41,73.41,73.41
81.75,81.75,81.75,81.75,81.75,75.08,75.08,75.08,75.08,75.08,75.08
83.42,83.42,83.42,83.42,83.42,76.75,76.75,76.75,76.75,76.75,76.75
85.09,85.09,85.09,85.09,85.09,78.42,78.42,78.42,78.42,78.42,78.42
86.76,86.76,86.76,86.76,86.76,80.09,80.09,80.09,80.09,80.09,80.09
88.43,88.43,88.43,88.43,88.43,81.75,81.75,81.75,81.75,81.75,81.75
90.1,90.1,90.1,90.1,90.1,83.42,83.42,83.42,83.42,83.42,83.42
92.04,92.04,92.04,92.04,92.04,86.2,86.2,86.2,86.2,86.2,86.2
93.99,93.99,93.99,93.99,93.99,88.98,88.98,88.98,88.98,88.98,88.98
95.94,95.94,95.94,95.94,95.94,91.76,91.76,91.76,91.76,91.76,91.76
97.88,97.88,97.88,97.88,97.88,94.55,94.55,94.55,94.55,94.55,94.55
98.77,98.77,98.77,98.77,98.77,90.76,90.76,90.76,90.76,90.76,88.43
100.11,100.11,100.11,100.11,100.11,90.93,90.93,90.93,90.93,90.93,87.59
101.44,101.44,101.44,101.44,101.44,91.1,91.1,91.1,91.1,91.1,86.76
102.78,102.78,102.78,102.78,102.78,91.26,91.26,91.26,91.26,91.26,85.92
104.11,104.11,104.11,104.11,104.11,91.43,91.43,91.43,91.43,91.43,85.09
